Sentence,VADER_neg,VADER_neu,VADER_pos,VADER_compound,VADER_Sentiment
"Invite the people to boycott the upcoming box office movies that will be released soon . Don't forget that the movie industry is also their biggest contributor , what's more , the movie Wonder Woman clearly shows the perpetrators of the Jewish race . Try to see the movie in the Mat Kilau country box office in our country alone , how much has it collected . ",0.094,0.818,0.089,-0.0859,Negative
"JUST LAST YEAR THE MOVIE MAT KILAU OI CAME OUT! LIKE OR HATE THAT MOVIE IT'S A MOVIE LITERALLY ABOUT OUR ANCESTORS FIGHTING BRITISH COLONIZERS , APA BEBAL NAK NEUTRAL2 WHEN A LITERAL GENOCIDE IS HAPPENING! THOSE WHO SUPPORT THE COLONIST AGAIN CAN REMOVE IT! PTUI!",0.143,0.756,0.101,-0.4885,Negative
Watched Mat Kilau for Friday night movie and then waved the flag on Sunday for the Prince . Some aunt,0,1,0,0,Neutral
"Me explaining to my colleague how Hamas is a fighter for independence blablabla Her: oh you mean , like Daud Kilau? Me: . . . Photocopier: . . . Claim form: . . . Me: Mat Kilaute? It's like that movie , you",0,0.801,0.199,0.7149,Positive
"It's true that Mat Kilau is a fighter . He fought against the oppression of his era . He's not a gangster who collects taxes . Gangsters who number 1 run away from war . lg 1 , fuck movie mat",0.234,0.628,0.138,-0.7184,Negative
"When I knew my son was a boy , I got so inspired by your bravery . That time is already peak with Mat Kilau movie . Like I really wanted and I prayed my son to have this kind of bravery and his adherence to Islam is strong in his veins . Hence his name now",0,0.725,0.275,0.9461,Positive
He remembers him like Mat Kilau the movie who hates English,0.201,0.625,0.174,-0.1027,Negative
"I remember the time of the phenomenon of the movie Mat Kilau , when more and more people were proud to be Malay , wearing traditional clothes , at that time there were many crazy people who didn't like it , understand where it came from . These things will make Malay extremists like the Taliban . It is not impossible that the Malays themselves will come to stamp",0.097,0.853,0.049,-0.3085,Negative
Indian Mat Kilau,0,1,0,0,Neutral
sorry I never watched the movie until the end . He said,0.126,0.874,0,-0.0772,Negative
"eh , I don't misunderstand , I don't know that sentence because I've never seen the movie mat kilau",0.075,0.796,0.129,0.2235,Positive
"Because 4 of them , Israel will kill people slowly because they want to do ethnic cleansing . Fight instead of waiting to die . Nk tgu level army sma mmg xnknla . . we watch 'mat kilau' the movie and yet we still question ppl who fought against",0.256,0.72,0.025,-0.9217,Negative
"Finally watched Mat Kilau yesterday No other Malaysian movie could match its theatrical , comedic and historical-inaccuracy value . . . Best line: ""Dazzling dagger , my name is Mat",0.068,0.646,0.286,0.7964,Positive
"That's why in the movie mat kilau , the British captain once said , we are a weak nation , a divided nation , we are never United . That's why you are weak . What he said is true , I agree , if we all unite , our nation will be strong . Sad that our nation is broken",0.228,0.636,0.137,-0.6939,Negative
"always proud of what our nation can achieve . I support local films . To do better we need to compete productively . In this era , the source of movies is limitless . Ola Bola , Mat Kilau to name a few are all local blockbusters . Give it sometimes for local films to grow . ",0,0.835,0.165,0.8271,Positive
"Hamas is a Hero for Palestinians , see the movie ""Mat Kilau"" , how he defends Malay land from British colonialism . Did he a",0,0.841,0.159,0.5574,Positive
"about reading a book to know this history , I once talked to someone who saw the movie Mat Kilau and completely believed what he showed . when I told him to read a book , he said I don't know Malay . I'm too lazy to debate with people who want to go to the toilet",0.05,0.924,0.026,-0.296,Negative
The same person blames the Malays for the controversy movie Mat Kilau Tu,0.184,0.816,0,-0.4019,Negative
"I also remember the film that was not the best , it was dark and full of stress",0.306,0.694,0,-0.7326,Negative
"Just finished watching Mat Kilau . Although the situation our predecessors in Malay Archipelago had passed through were much more difficult , movies like this need to be massively produced to make us always remember that kafir and Kuffar nations will always be our enemy then and now . ",0.121,0.826,0.053,-0.5468,Negative
MALAYSIANS remember when we were all obsessed over Mat Kilau (the movie)? especially the girls when we thought some of the 6 casts were,0.072,0.928,0,-0.1779,Negative
"I don't even quote Mat Kilau because I know his history is not the same as what I read in the book , so people use the movie as an ideology . Sometimes I ask the gangs who watch this movie if there are certain scenes that don't follow history",0,0.953,0.047,0.2732,Positive
Annoying Voice of Hun Haqiem = Movie Mat,0.31,0.69,0,-0.4019,Negative
"Really though . Mat Kilau is a far better movie than this , and Mat Kilau was ahistorical ethnonationalist diarrhea . Hot take time! My bet for best Malaysian movie of the last few years is , and don't kill me for this: PASKAL . That was a fucking kinetic",0,0.782,0.218,0.9028,Positive
Mende babi look at Mat Kilau cry good watch upin ipin the movie,0.182,0.647,0.171,-0.0516,Negative
"Yes , I opened the movie because I wanted to cry , I was already looking for the sad part . But look at the Mat Kilau and cry hahaha",0.243,0.559,0.199,-0.128,Negative
remind me there is a parade from the cast of the movie eramalat cuz last year there was a mat,0,1,0,0,Neutral
"Wow , have you seen it? Go fast sister! Nooo Mat Kilau was the worst Malay movie ever! Until now , the trauma of going to see that movie is a waste of 20+ sisters . 6 . 5 is okay then 5 . There are so many people with level 2",0.194,0.698,0.108,-0.6792,Negative
Mat Kilau/Polis Evo 3/Paskal (All Are Malaysian Movies But OMG The Best,0,0.655,0.345,0.7783,Positive
"But honestly , Mat Kilau is not very strong plot-wise . The movie has strong support because it has a political element",0.256,0.495,0.249,-0.0532,Negative
"There is a Kanang Anak Kankau movie . Even made earlier than Mat Kilau . The Borneo women just make it worse , they say we are racist to them . Very influenced to be like a black American",0.179,0.758,0.063,-0.6808,Negative
"There is a Kanang Anak Kankau movie . Even made earlier than Mat Kilau . The women just make it worse , they say we are racist towards them . Very influenced by the black narrative",0.197,0.803,0,-0.7964,Negative
Mat kilau movie singlehandedly helps PN win the PRN . Ytjt Mat Kilau,0,0.61,0.39,0.7506,Positive
"If the movie follows the historical facts about Mat Kilau , it will look 10 times more supremacy because he really fought all the way . His life story is sad . He was under-appreciated",0.157,0.801,0.041,-0.6369,Negative
The Mat Kilau is fine . There are many other movies available . He can be blamed for the Mat Kilau of a movie . What is the fate of the people of Malaysia?,0.094,0.851,0.055,-0.3182,Negative
Just watched Sultan Agung on Netflix . I must say every single thing in this movie is far beyond better than Mat Kilau . Story telling: 10 Plot: 10 Script: 10 Cinematography: 9 Acting:,0,0.909,0.091,0.4404,Positive
"Movie Mat Kilau is also sold , you want to expect",0,0.874,0.126,0.0772,Positive
Where is the enthusiasm to watch the Mat Kilau movie?,0,0.756,0.244,0.4404,Positive
I don't think that's the reason . The people are now ready to vote . . nonsensical stories have no essence . What do you want to support? Example of movie mat,0.069,0.726,0.205,0.5106,Positive
"I thought I would never be able to find an even worse film than Mat Kilau: I was wrong . Iceman : The Time Traveler was a total mess and cringefest . How the fuck dud that movie even got released , ",0.329,0.671,0,-0.9217,Negative
"fak you men mat kilau haters , mat kilau shat on these movies",0.225,0.775,0,-0.4939,Negative
"Tbh right now , you gimme one podium and i read out what i have , i sound like im in the mat kilau movie",0,0.884,0.116,0.3612,Positive
Greta Gerwig's movies are deffo not to the taste of Malays in Malaysia . I guess they'd rather stick to their Mat Kilau,0,1,0,0,Neutral
Mat Kilau movies like that are also high-grossing . Good quality Evo police can't even get the collection they deserve . ,0,0.759,0.241,0.6597,Positive
"If you want to fight the action-packed Mat Kilau , Christopher Nolan will lose . p/s : Mat Kilau (the film) is not a movie , it's a piece of",0.192,0.761,0.047,-0.6124,Negative
Look at the acceptance of our people . Just look at what happened at mat kilau movies,0,0.833,0.167,0.4588,Positive
"In my experience doing startup is investors will put money in ventures that they can relate with . So I guess FINAS people are those who like these kinds of movies , not Star Wars , Shutter Island and Mat",0,0.862,0.138,0.6623,Positive
"Aaaaa… me!!! There are good Malay movies , for example PASKAL . EVO POLICE . KURAFAT Mat Kilau . And also the movies of late mamat",0,0.848,0.152,0.5826,Positive
